Comunidad,Ano,Volume_Agua_Agricola,Volume_Agua_hm3
Andalucía,2000,10220872,260.2692307692308
Andalucía,2001,10284300,238.03846153846155
Andalucía,2002,10606274,172.55769230769232
Andalucía,2003,10422520,232.30769230769232
Andalucía,2004,9702112,190.28846153846155
Andalucía,2005,8931278,155.21153846153845
Andalucía,2006,8411436,174.8653846153846
Andalucía,2007,7909308,200.2692307692308
Andalucía,2008,7631330,306.15384615384613
Andalucía,2009,8343798,565.3846153846154
Andalucía,2010,8383752,740.7115384615385
Andalucía,2011,8312348,602.6538461538462
Andalucía,2012,7672224,687.7884615384615
Andalucía,2013,7963536,775.4807692307693
Andalucía,2014,9038612,658.5769230769231
Andalucía,2015,8947436,425.8269230769231
Andalucía,2016,8670064,297.34615384615387
Andalucía,2018,9154690,301.1730769230769
Comunitat Valenciana,2000,4782124,260.2692307692308
Comunitat Valenciana,2001,4910616,238.03846153846155
Comunitat Valenciana,2002,4005310,172.55769230769232
Comunitat Valenciana,2003,4266590,232.30769230769232
Comunitat Valenciana,2004,3993042,190.28846153846155
Comunitat Valenciana,2005,3675274,155.21153846153845
Comunitat Valenciana,2006,3359972,174.8653846153846
Comunitat Valenciana,2007,3124004,200.2692307692308
Comunitat Valenciana,2008,3236296,306.15384615384613
Comunitat Valenciana,2009,4091644,565.3846153846154
Comunitat Valenciana,2010,3529586,740.7115384615385
Comunitat Valenciana,2011,3352880,602.6538461538462
Comunitat Valenciana,2012,3452260,687.7884615384615
Comunitat Valenciana,2013,2971250,775.4807692307693
Comunitat Valenciana,2014,4750842,658.5769230769231
Comunitat Valenciana,2015,4100962,425.8269230769231
Comunitat Valenciana,2016,4157400,297.34615384615387
Comunitat Valenciana,2018,3300242,301.1730769230769
Región de Murcia,2000,1101990,260.2692307692308
Región de Murcia,2001,1286018,238.03846153846155
Región de Murcia,2002,1481388,172.55769230769232
Región de Murcia,2003,1391334,232.30769230769232
Región de Murcia,2004,1304126,190.28846153846155
Región de Murcia,2005,1172282,155.21153846153845
Región de Murcia,2006,1077784,174.8653846153846
Región de Murcia,2007,1125640,200.2692307692308
Región de Murcia,2008,1056174,306.15384615384613
Región de Murcia,2009,1140192,565.3846153846154
Región de Murcia,2010,1072910,740.7115384615385
Región de Murcia,2011,1273194,602.6538461538462
Región de Murcia,2012,1366542,687.7884615384615
Región de Murcia,2013,1260248,775.4807692307693
Región de Murcia,2014,1487024,658.5769230769231
Región de Murcia,2015,1360914,425.8269230769231
Región de Murcia,2016,1327360,297.34615384615387
Región de Murcia,2018,1350086,301.1730769230769
