Indicador,Ano,Valor,Volume_Agua_hm3
Alicante. Pernoctaciones. Residentes en España.,2021,4380708.0,430.0769230769231
Alicante. Pernoctaciones. Residentes en España.,2022,7839888.0,377.3269230769231
Alicante. Pernoctaciones. Residentes en España.,2023,7636985.0,235.65384615384616
Alicante. Pernoctaciones. Residentes en España.,2024,7713673.0,271.4807692307692
Alicante. Pernoctaciones. Residentes en España.,2025,7457737.0,472.16279069767444
Alicante. Pernoctaciones. Residentes en el extranjero.,2021,2416319.0,430.0769230769231
Alicante. Pernoctaciones. Residentes en el extranjero.,2022,8240105.0,377.3269230769231
Alicante. Pernoctaciones. Residentes en el extranjero.,2023,9657950.0,235.65384615384616
Alicante. Pernoctaciones. Residentes en el extranjero.,2024,10837541.0,271.4807692307692
Alicante. Pernoctaciones. Residentes en el extranjero.,2025,11474469.0,472.16279069767444
Alicante. Pernoctaciones. Total.,2021,6797029.0,430.0769230769231
Alicante. Pernoctaciones. Total.,2022,16079995.0,377.3269230769231
Alicante. Pernoctaciones. Total.,2023,17294937.0,235.65384615384616
Alicante. Pernoctaciones. Total.,2024,18551215.0,271.4807692307692
Alicante. Pernoctaciones. Total.,2025,18932205.0,472.16279069767444
Alicante. Viajeros. Residentes en España.,2021,1422970.0,430.0769230769231
Alicante. Viajeros. Residentes en España.,2022,2417966.0,377.3269230769231
Alicante. Viajeros. Residentes en España.,2023,2438391.0,235.65384615384616
Alicante. Viajeros. Residentes en España.,2024,2403927.0,271.4807692307692
Alicante. Viajeros. Residentes en España.,2025,2433352.0,472.16279069767444
Alicante. Viajeros. Residentes en el extranjero.,2021,623943.0,430.0769230769231
Alicante. Viajeros. Residentes en el extranjero.,2022,1868986.0,377.3269230769231
Alicante. Viajeros. Residentes en el extranjero.,2023,2189594.0,235.65384615384616
Alicante. Viajeros. Residentes en el extranjero.,2024,2440889.0,271.4807692307692
Alicante. Viajeros. Residentes en el extranjero.,2025,2634372.0,472.16279069767444
Alicante. Viajeros. Total.,2021,2046913.0,430.0769230769231
Alicante. Viajeros. Total.,2022,4286953.0,377.3269230769231
Alicante. Viajeros. Total.,2023,4627982.0,235.65384615384616
Alicante. Viajeros. Total.,2024,4844818.0,271.4807692307692
Alicante. Viajeros. Total.,2025,5067724.0,472.16279069767444
Almería. Pernoctaciones. Residentes en España.,2021,2190242.0,430.0769230769231
Almería. Pernoctaciones. Residentes en España.,2022,3491483.0,377.3269230769231
Almería. Pernoctaciones. Residentes en España.,2023,3598772.0,235.65384615384616
Almería. Pernoctaciones. Residentes en España.,2024,3788860.0,271.4807692307692
Almería. Pernoctaciones. Residentes en España.,2025,3949520.0,472.16279069767444
Almería. Pernoctaciones. Residentes en el extranjero.,2021,401473.0,430.0769230769231
Almería. Pernoctaciones. Residentes en el extranjero.,2022,1185759.0,377.3269230769231
Almería. Pernoctaciones. Residentes en el extranjero.,2023,1302160.0,235.65384615384616
Almería. Pernoctaciones. Residentes en el extranjero.,2024,1349042.0,271.4807692307692
Almería. Pernoctaciones. Residentes en el extranjero.,2025,1358445.0,472.16279069767444
Almería. Pernoctaciones. Total.,2021,2591716.0,430.0769230769231
Almería. Pernoctaciones. Total.,2022,4677243.0,377.3269230769231
Almería. Pernoctaciones. Total.,2023,4900931.0,235.65384615384616
Almería. Pernoctaciones. Total.,2024,5137903.0,271.4807692307692
Almería. Pernoctaciones. Total.,2025,5307968.0,472.16279069767444
Almería. Viajeros. Residentes en España.,2021,647358.0,430.0769230769231
Almería. Viajeros. Residentes en España.,2022,1100004.0,377.3269230769231
Almería. Viajeros. Residentes en España.,2023,1117611.0,235.65384615384616
Almería. Viajeros. Residentes en España.,2024,1143600.0,271.4807692307692
Almería. Viajeros. Residentes en España.,2025,1243730.0,472.16279069767444
Almería. Viajeros. Residentes en el extranjero.,2021,105282.0,430.0769230769231
Almería. Viajeros. Residentes en el extranjero.,2022,277106.0,377.3269230769231
Almería. Viajeros. Residentes en el extranjero.,2023,301633.0,235.65384615384616
Almería. Viajeros. Residentes en el extranjero.,2024,334793.0,271.4807692307692
Almería. Viajeros. Residentes en el extranjero.,2025,325597.0,472.16279069767444
Almería. Viajeros. Total.,2021,752640.0,430.0769230769231
Almería. Viajeros. Total.,2022,1377110.0,377.3269230769231
Almería. Viajeros. Total.,2023,1419244.0,235.65384615384616
Almería. Viajeros. Total.,2024,1478392.0,271.4807692307692
Almería. Viajeros. Total.,2025,1569328.0,472.16279069767444
Murcia (Región de). Pernoctaciones. Residentes en España.,2021,1091812.0,430.0769230769231
Murcia (Región de). Pernoctaciones. Residentes en España.,2022,2187763.0,377.3269230769231
Murcia (Región de). Pernoctaciones. Residentes en España.,2023,2362067.0,235.65384615384616
Murcia (Región de). Pernoctaciones. Residentes en España.,2024,2542468.0,271.4807692307692
Murcia (Región de). Pernoctaciones. Residentes en España.,2025,2605573.0,472.16279069767444
Murcia (Región de). Pernoctaciones. Residentes en el extranjero.,2021,290430.0,430.0769230769231
Murcia (Región de). Pernoctaciones. Residentes en el extranjero.,2022,767778.0,377.3269230769231
Murcia (Región de). Pernoctaciones. Residentes en el extranjero.,2023,835286.0,235.65384615384616
Murcia (Región de). Pernoctaciones. Residentes en el extranjero.,2024,898459.0,271.4807692307692
Murcia (Región de). Pernoctaciones. Residentes en el extranjero.,2025,950995.0,472.16279069767444
Murcia (Región de). Pernoctaciones. Total.,2021,1382241.0,430.0769230769231
Murcia (Región de). Pernoctaciones. Total.,2022,2955540.0,377.3269230769231
