Volume_Real_hm3,Volume_Predito_hm3,Ano,Comunidad
238.03846153846155,243.2860576923078,2001,Comunitat Valenciana
775.4807692307693,687.5882692307687,2013,Región de Murcia
687.7884615384615,652.4716346153838,2012,Región de Murcia
687.7884615384615,646.2015384615381,2012,Andalucía
306.15384615384613,287.99961538461486,2008,Región de Murcia
155.21153846153845,175.93730769230754,2005,Andalucía
301.1730769230769,309.78682692307757,2018,Andalucía
297.34615384615387,321.81798076923127,2016,Región de Murcia
232.30769230769232,204.82653846153852,2003,Andalucía
658.5769230769231,679.0174999999998,2014,Comunitat Valenciana
775.4807692307693,683.2586538461533,2013,Andalucía
